type,name,elevation_ft,iso_country,iso_region,municipality,iata_code,local_code,coordinates,longitude,latitude,state
small_airport,Ocean Reef Club Airport,8.0,US,US-FL,Key Largo,OCA,07FA,"-80.274803161621, 25.325399398804",-80.274803161621,25.325399398804,FL
small_airport,Pilot Station Airport,305.0,US,US-AK,Pilot Station,PQS,0AK,"-162.899994, 61.934601",-162.899994,61.934601,AK
small_airport,Crested Butte Airpark,8980.0,US,US-CO,Crested Butte,CSE,0CO2,"-106.928341, 38.851918",-106.928341,38.851918,CO
small_airport,LBJ Ranch Airport,1515.0,US,US-TX,Johnson City,JCY,0TE7,"-98.62249755859999, 30.251800537100003",-98.62249755859999,30.251800537100003,TX
small_airport,Metropolitan Airport,418.0,US,US-MA,Palmer,PMX,13MA,"-72.31140136719999, 42.223300933800004",-72.31140136719999,42.223300933800004,MA
small_airport,Nunapitchuk Airport,12.0,US,US-AK,Nunapitchuk,NUP,16A,"-162.440454, 60.905591",-162.440454,60.905591,AK
small_airport,Icy Bay Airport,50.0,US,US-AK,Icy Bay,ICY,19AK,"-141.662002563, 59.96900177",-141.662002563,59.96900177,AK
small_airport,Kalakaket Creek AS Airport,1598.0,US,US-AK,Kalakaket Creek,KKK,1KC,"-156.820392609, 64.4166256967",-156.820392609,64.4166256967,AK
small_airport,Dunsmuir Muni-Mott Airport,3258.0,US,US-CA,Dunsmuir,MHS,1O6,"-122.272003, 41.263199",-122.272003,41.263199,CA
small_airport,Grand Canyon Bar Ten Airstrip,4100.0,US,US-AZ,Whitmore,GCT,1Z1,"-113.231003, 36.259701",-113.231003,36.259701,AZ
small_airport,Lime Village Airport,552.0,US,US-AK,Lime Village,LVD,2AK,"-155.440002441, 61.3591003418",-155.440002441,61.3591003418,AK
small_airport,Hog River Airport,534.0,US,US-AK,Hogatza,HGZ,2AK6,"-155.6690063, 66.2161026",-155.6690063,66.2161026,AK
small_airport,Ed-Air Airport,426.0,US,US-IN,Oaktown,OTN,I20,"-87.4997024536, 38.851398468",-87.4997024536,38.851398468,IN
small_airport,Telida Airport,650.0,US,US-AK,Telida,TLF,2K5,"-153.26899719238, 63.393901824951",-153.26899719238,63.393901824951,AK
small_airport,Eagle Air Park,15.0,US,US-TX,Brazoria,BZT,2TE0,"-95.579696655273, 28.982200622559",-95.579696655273,28.982200622559,TX
small_airport,Blakely Island Airport,66.0,US,US-WA,Blakely Island,BYW,38WA,"-122.825996399, 48.578998565700005",-122.825996399,48.578998565700005,WA
small_airport,Drift River Airport,30.0,US,US-AK,Kenai,DRF,3AK5,"-152.162002563, 60.588901519800004",-152.162002563,60.588901519800004,AK
small_airport,Rinkenberger Restricted Landing Area,808.0,US,US-IL,Bradford,BDF,3IS8,"-89.61569976810001, 41.230899810800004",-89.61569976810001,41.230899810800004,IL
small_airport,Roy Otten Memorial Airfield,1030.0,US,US-MO,Versailles,VRS,3VS,"-92.875198364258, 38.427799224854",-92.875198364258,38.427799224854,MO
small_airport,Atmautluak Airport,17.0,US,US-AK,Atmautluak,ATT,4A2,"-162.272995, 60.866699",-162.272995,60.866699,AK
small_airport,Livengood Camp Airport,425.0,US,US-AK,Livengood,LIV,4AK,"-148.6534, 65.467",-148.6534,65.467,AK
small_airport,Pedro Bay Airport,45.0,US,US-AK,Pedro Bay,PDB,4K0,"-154.12399292, 59.7896003723",-154.12399292,59.7896003723,AK
small_airport,Ouzinkie Airport,55.0,US,US-AK,Ouzinkie,KOZ,4K5,"-152.496715, 57.925362",-152.496715,57.925362,AK
small_airport,Tununak Airport,14.0,US,US-AK,Tununak,TNK,4KA,"-165.27200317383, 60.575500488281",-165.27200317383,60.575500488281,AK
medium_airport,Aleknagik / New Airport,66.0,US,US-AK,Aleknagik,WKK,5A8,"-158.617996216, 59.2826004028",-158.617996216,59.2826004028,AK
small_airport,Naknek Airport,70.0,US,US-AK,Naknek,NNK,5NK,"-157.02000427246, 58.732898712158",-157.02000427246,58.732898712158,AK
small_airport,Southern Seaplane Airport,,US,US-LA,Belle Chasse,BCS,65LA,"-90.0222015381, 29.8661003113",-90.0222015381,29.8661003113,LA
small_airport,Earl Henry Airport,1054.0,US,US-OK,Blackwell,BWL,6OK6,"-97.3170013428, 36.7958984375",-97.3170013428,36.7958984375,OK
small_airport,Center Island Airport,115.0,US,US-WA,Center Island,CWS,78WA,"-122.832000732, 48.4901008606",-122.832000732,48.4901008606,WA
small_airport,Tatitlek Airport,62.0,US,US-AK,Tatitlek,TEK,7KA,"-146.690297, 60.871449",-146.690297,60.871449,AK
small_airport,Pine Island Airport,16.0,US,US-NC,Corolla,DUF,7NC2,"-75.7884979248, 36.2535018921",-75.7884979248,36.2535018921,NC
small_airport,Stuart Island Airpark,10.0,US,US-WA,Stuart Island,SSW,7WA5,"-123.17600250244, 48.672901153564",-123.17600250244,48.672901153564,WA
small_airport,Fort Bragg Airport,71.0,US,US-CA,Fort Bragg,FOB,82CL,"-123.79599762, 39.4743003845",-123.79599762,39.4743003845,CA
small_airport,Maxson Airfield,340.0,US,US-NY,Alexandria Bay,AXB,89NY,"-75.90034, 44.312002",-75.90034,44.312002,NY
small_airport,Reese Airpark,3338.0,US,US-TX,Lubbock,REE,8XS8,"-102.03700256348, 33.590301513672",-102.03700256348,33.590301513672,TX
small_airport,Waldronaire Airport,140.0,US,US-WA,East Sound,WDN,90WA,"-123.017997742, 48.7117996216",-123.017997742,48.7117996216,WA
small_airport,Chuathbaluk Airport,244.0,US,US-AK,Chuathbaluk,CHU,9A3,"-159.216003, 61.579102",-159.216003,61.579102,AK
small_airport,Ugashik Airport,25.0,US,US-AK,Ugashik,UGS,9A8,"-157.399002075, 57.5279006958",-157.399002075,57.5279006958,AK
small_airport,Levelock Airport,39.0,US,US-AK,Levelock,KLL,9Z8,"-156.85899353, 59.128101348899996",-156.85899353,59.128101348899996,AK
small_airport,Tuntutuliak Airport,16.0,US,US-AK,Tuntutuliak,WTL,A61,"-162.667007446, 60.3353004456",-162.667007446,60.3353004456,AK
small_airport,Twin Hills Airport,82.0,US,US-AK,Twin Hills,TWA,A63,"-160.27299499512, 59.07559967041",-160.27299499512,59.07559967041,AK
small_airport,Chignik Lake Airport,50.0,US,US-AK,Chignik Lake,KCQ,A79,"-158.774993896, 56.2550010681",-158.774993896,56.2550010681,AK
small_airport,Chena Hot Springs Airport,1195.0,US,US-AK,Chena Hot Springs,CEX,AK13,"-146.04699707, 65.0518035889",-146.04699707,65.0518035889,AK
small_airport,Solomon State Field,25.0,US,US-AK,Solomon,SOL,AK26,"-164.4457, 64.5605",-164.4457,64.5605,AK
small_airport,Herendeen Bay Airport,20.0,US,US-AK,Herendeen Bay,HED,AK33,"-160.899002075, 55.801399231",-160.899002075,55.801399231,AK
small_airport,Taylor Airport,440.0,US,US-AK,Taylor,TWE,AK49,"-164.798995972, 65.6792984009",-164.798995972,65.6792984009,AK
small_airport,Lonely Air Station,17.0,US,US-AK,Lonely,LNI,AK71,"-153.2420044, 70.91069794",-153.2420044,70.91069794,AK
small_airport,Candle 2 Airport,15.0,US,US-AK,Candle,CDL,AK75,"-161.925994873, 65.907699585",-161.925994873,65.907699585,AK
small_airport,Bartletts Airport,50.0,US,US-AK,Egegik,BSZ,AK96,"-157.352005005, 58.2162017822",-157.352005005,58.2162017822,AK
small_airport,Boswell Bay Airport,230.0,US,US-AK,Boswell Bay,BSW,AK97,"-146.145996094, 60.4230995178",-146.145996094,60.4230995178,AK
small_airport,Sharpe Field,253.0,US,US-AL,Tuskegee,TGE,AL73,"-85.7755966187, 32.4919013977",-85.7755966187,32.4919013977,AL
small_airport,Girdwood Airport,150.0,US,US-AK,Girdwood,AQY,AQY,"-149.126007, 60.966099",-149.126007,60.966099,AK
small_airport,Branson Airport,1302.0,US,US-MO,Branson,BKG,BBG,"-93.200544, 36.532082",-93.200544,36.532082,MO
