State,City,American_Indian_and_Alaska_Native,Asian,Black_or_African_American,Hispanic_or_Latino,White
Alabama,Birmingham,1319,1500,157985,8940,51728
Alabama,Dothan,656,1175,23243,1704,43516
Alabama,Hoover,0,4759,18191,3430,61869
Alabama,Huntsville,1755,6566,61561,10887,121904
Alabama,Mobile,2816,5518,96397,5229,93755
Alabama,Montgomery,1277,6518,121360,6648,73545
Alabama,Tuscaloosa,261,2733,42331,2475,52603
Alaska,Anchorage,36339,36825,23107,27261,212696
Arizona,Avondale,613,2828,11592,34716,62176
Arizona,Casas Adobes,2047,3009,1854,13609,58956
Arizona,Chandler,6601,33079,16163,57159,207993
Arizona,Flagstaff,5117,2646,3144,13606,58696
Arizona,Gilbert,5965,19740,9076,39937,211322
Arizona,Glendale,4064,15245,16254,83711,202539
Arizona,Goodyear,1301,5701,8678,21603,63493
Arizona,Mesa,16044,14608,22699,131425,413010
Arizona,Peoria,3108,6631,8514,41129,151232
Arizona,Phoenix,41748,66403,132939,669914,1161455
Arizona,San Tan Valley,3941,1378,2027,18733,75429
Arizona,Scottsdale,7003,11555,5279,24766,205512
Arizona,Surprise,1883,3153,9079,25366,115419
Arizona,Tempe,4636,17338,11293,44404,130346
Arizona,Tucson,24409,24689,33900,231025,404342
Arizona,Yuma,1228,1180,3731,57054,69691
Arkansas,Fayetteville,2058,4707,6927,5535,68830
Arkansas,Fort Smith,2993,6228,9851,17104,66004
Arkansas,Jonesboro,2109,1282,14599,4614,56626
Arkansas,Little Rock,961,8423,85606,15500,102312
Arkansas,North Little Rock,713,0,30766,4860,34118
Arkansas,Springdale,547,1422,1859,30200,56843
California,Alameda,1329,27984,7364,8265,44232
California,Alhambra,687,44067,1905,31386,20811
California,Anaheim,2489,53270,9775,201593,259820
California,Antioch,3462,14333,23227,35563,51151
California,Apple Valley,1446,2281,9124,25928,60767
California,Arden-Arcade,2587,7355,13647,15273,69369
California,Bakersfield,7357,31929,34240,180241,272853
California,Baldwin Park,316,15505,1560,56282,36890
California,Bellflower,783,10764,12839,42472,23336
California,Berkeley,1868,27089,11255,15429,82949
California,Bk,1639,14636,4729,22089,79582
California,Buena Park,361,24624,901,32915,48412
California,Camarillo,742,7198,1219,16186,59702
California,Carlsbad,1513,11948,876,12969,98705
California,Carmichael,2603,4205,4675,9291,55862
California,Carson,2119,31706,19947,32938,28801
California,Chico,2766,6101,3164,15578,80467
California,Chino,4790,12948,6815,45495,44543
California,Chino Hills,1773,28132,3506,22539,40030
California,Chula Vista,1652,48506,15641,156522,183753
California,Citrus Heights,1514,3615,5979,14661,77525
California,Clovis,1876,14249,3434,23744,78029
California,Compton,298,1732,26395,67523,53919
California,Concord,1447,17453,6150,41400,92575
California,Corona,2268,21044,9437,68592,119403
California,Costa Mesa,1961,9165,2925,38239,87320
California,Daly City,893,61918,5401,24316,25522
California,Davis,779,17816,2081,9041,47997
California,Downey,535,9776,5498,84806,77220
California,East Los Angeles,778,1053,508,116211,48980
California,El Cajon,1891,4561,7534,31542,84703
California,El Monte,718,33384,307,77523,64138
California,Elk Grove,2020,59424,20185,28781,86909
California,Escondido,3151,14398,5631,73793,120781
California,Fairfield,1016,22428,18274,32976,64106
California,Florence-Graham,0,0,5060,60895,30591
California,Folsom,998,15569,3985,5822,57435
California,Fontana,2656,14281,16986,156134,85044
California,Fremont,1606,141953,7762,29594,67294
California,Fresno,11380,75318,46072,256145,325651
California,Fullerton,1668,33937,5241,53459,92216
California,Garden Grove,1713,71737,1840,66038,66782
